Entity,Year,Share of the population that was born in this country but now lives in another country.
Ethiopia,2010,0.77623266
Ethiopia,2015,0.8355157
Ethiopia,2020,0.8229815
Europe,1990,6.6213107
Europe,1995,6.6900105
Europe,2000,6.8537297
Europe,2005,7.0393305
Europe,2010,7.429432
Europe,2015,7.614167
Europe,2020,8.463163
Europe and Northern America,1990,5.0499907
Europe and Northern America,1995,5.0499063
Europe and Northern America,2000,5.0942655
Europe and Northern America,2005,5.191216
Europe and Northern America,2010,5.434943
Europe and Northern America,2015,5.5079494
Europe and Northern America,2020,6.054749
Falkland Islands,1990,12.878788
Falkland Islands,1995,30.387846
Falkland Islands,2000,43.62254
Falkland Islands,2005,37.118645
Falkland Islands,2010,40.45486
Falkland Islands,2015,48.307476
Falkland Islands,2020,43.58312
Faroe Islands,1990,15.90236
Faroe Islands,1995,21.924383
Faroe Islands,2000,26.55227
Faroe Islands,2005,26.154911
Faroe Islands,2010,25.864485
Faroe Islands,2015,27.899282
Faroe Islands,2020,26.454517
Fiji,1990,12.374978
Fiji,1995,13.732803
Fiji,2000,16.264637
Fiji,2005,19.114393
Fiji,2010,21.354221
Fiji,2015,24.011087
Fiji,2020,26.087074
Finland,1990,5.0159917
Finland,1995,5.6388807
Finland,2000,6.088355
Finland,2005,5.7152658
Finland,2010,5.439708
Finland,2015,5.148995
Finland,2020,5.629036
France,1990,2.1455874
France,1995,2.3412678
France,2000,2.6355817
France,2005,2.8226643
France,2010,3.112011
France,2015,3.2880697
France,2020,3.5878382
French Guiana,1990,2.4528432
French Guiana,1995,2.3442504
French Guiana,2000,2.230898
French Guiana,2005,1.8721701
French Guiana,2010,1.6910162
French Guiana,2015,1.7305983
French Guiana,2020,1.5384254
French Polynesia,1990,1.5667363
French Polynesia,1995,1.7141757
French Polynesia,2000,1.7865973
French Polynesia,2005,1.0499266
French Polynesia,2010,0.5817248
French Polynesia,2015,0.7242265
French Polynesia,2020,0.767878
Gabon,1990,1.6163363
Gabon,1995,1.5309446
Gabon,2000,1.4687074
Gabon,2005,2.9741468
Gabon,2010,2.2739952
Gabon,2015,2.2115943
Gabon,2020,2.1742098
Gambia,1990,3.7965875
Gambia,1995,3.401097
Gambia,2000,3.4474254
Gambia,2005,3.9649682
Gambia,2010,4.318539
Gambia,2015,4.648586
Gambia,2020,5.76042
Georgia,1990,16.9939
Georgia,1995,19.156586
Georgia,2000,22.168299
Georgia,2005,21.03301
Georgia,2010,19.651625
Georgia,2015,20.598757
Georgia,2020,21.58534
Germany,1990,3.7056298
Germany,1995,3.7532713
Germany,2000,3.9744618
Germany,2005,4.2191386
Germany,2010,4.5735188
Germany,2015,4.4386754
Germany,2020,4.60144
Ghana,1990,2.5123544
Ghana,1995,2.5158665
Ghana,2000,2.5721815
Ghana,2005,3.0517614
Ghana,2010,3.0751166
Ghana,2015,3.2038727
Ghana,2020,3.2321494
Gibraltar,1990,41.130054
Gibraltar,1995,35.310932
Gibraltar,2000,27.190245
Gibraltar,2005,29.025946
Gibraltar,2010,30.361769
Gibraltar,2015,35.315037
Gibraltar,2020,39.74058
Greece,1990,9.995364
Greece,1995,9.345315
Greece,2000,8.867315
Greece,2005,7.729483
Greece,2010,7.250947
Greece,2015,7.6936135
Greece,2020,10.443262
Greenland,1990,17.092295
Greenland,1995,20.356565
Greenland,2000,23.831818
Greenland,2005,25.668581
Greenland,2010,27.174335
Greenland,2015,29.640995
Greenland,2020,31.469738
Grenada,1990,44.88518
Grenada,1995,53.920784
Grenada,2000,62.031178
Grenada,2005,61.76881
Grenada,2010,60.18244
Grenada,2015,63.004665
Grenada,2020,55.283108
Guadeloupe,1990,1.4810494
Guadeloupe,1995,1.67141
Guadeloupe,2000,1.836284
Guadeloupe,2005,2.2116985
Guadeloupe,2010,2.6544487
Guadeloupe,2015,2.9963024
Guadeloupe,2020,3.1345048
Guam,1990,1.0538014
Guam,1995,1.1088287
Guam,2000,1.8007636
Guam,2005,1.6003181
Guam,2010,1.3854829
Guam,2015,1.317261
Guam,2020,1.3111509
Guatemala,1990,3.7585897
Guatemala,1995,4.4376388
Guatemala,2000,5.002221
Guatemala,2005,5.625484
Guatemala,2010,6.321746
Guatemala,2015,6.879681
Guatemala,2020,7.6382236
Guinea,1990,5.553327
Guinea,1995,5.0327454
Guinea,2000,4.575065
Guinea,2005,4.442321
Guinea,2010,4.4727087
Guinea,2015,4.3160152
Guinea,2020,4.1940055
Guinea-Bissau,1990,5.6811223
Guinea-Bissau,1995,6.1669655
Guinea-Bissau,2000,6.464969
Guinea-Bissau,2005,6.1598697
Guinea-Bissau,2010,6.012467
Guinea-Bissau,2015,5.649931
Guinea-Bissau,2020,5.680392
Guyana,1990,31.389225
Guyana,1995,38.787968
Guyana,2000,48.499836
Guyana,2005,52.610313
Guyana,2010,58.608944
Guyana,2015,62.710102
Guyana,2020,55.738094
Haiti,1990,7.455489
Haiti,1995,8.539651
Haiti,2000,9.478223
Haiti,2005,10.525977
Haiti,2010,11.289115
Haiti,2015,13.716391
Haiti,2020,15.519981
High-income countries,1990,3.3005884
High-income countries,1995,3.3492815
High-income countries,2000,3.460608
High-income countries,2005,3.6008432
High-income countries,2010,3.8753772
High-income countries,2015,3.9071453
High-income countries,2020,4.264153
Honduras,1990,3.1557918
Honduras,1995,4.3190503
Honduras,2000,5.2034755
Honduras,2005,6.0180063
Honduras,2010,7.0634847
Honduras,2015,8.0090275
Honduras,2020,9.945643
Hong Kong,1990,9.586777
Hong Kong,1995,10.14486
Hong Kong,2000,10.382667
Hong Kong,2005,11.115551
Hong Kong,2010,12.374819
Hong Kong,2015,13.321598
Hong Kong,2020,13.442573
Hungary,1990,3.7735176
Hungary,1995,3.9050052
Hungary,2000,4.1187677
Hungary,2005,4.625547
Hungary,2010,5.149385
Hungary,2015,6.145343
Hungary,2020,7.3953843
Iceland,1990,6.899594
Iceland,1995,8.0085335
Iceland,2000,9.332868
Iceland,2005,9.719095
Iceland,2010,10.131047
Iceland,2015,11.205892
Iceland,2020,12.674286
India,1990,0.7579983
India,1995,0.7421176
India,2000,0.75035346
India,2005,0.835522
India,2010,1.0712278
India,2015,1.2125045
India,2020,1.2948866
Indonesia,1990,0.89423335
Indonesia,1995,0.9836953
Indonesia,2000,1.1418058
Indonesia,2005,1.2290837
Indonesia,2010,1.4125226
Indonesia,2015,1.5732812
Indonesia,2020,1.6822565
Iran,1990,1.1198127
Iran,1995,1.215343
Iran,2000,1.266629
Iran,2005,1.275046
Iran,2010,1.3363034
Iran,2015,1.4722697
Iran,2020,1.5776478
Iraq,1990,3.6909628
Iraq,1995,3.7351294
Iraq,2000,3.5255275
Iraq,2005,4.979515
Iraq,2010,8.590313
Iraq,2015,4.7104473
Iraq,2020,5.1662025
Ireland,1990,26.121675
Ireland,1995,24.039469
Ireland,2000,21.692741
Ireland,2005,18.592163
Ireland,2010,16.016977
Ireland,2015,15.833459
Ireland,2020,14.871352
Isle of Man,1990,15.272008
Isle of Man,1995,12.481111
Isle of Man,2000,9.587741
Isle of Man,2005,10.566301
Isle of Man,2010,10.645093
Isle of Man,2015,12.711457
Isle of Man,2020,14.149967
Israel,1990,6.2860413
Israel,1995,5.5083423
Israel,2000,5.1103697
Israel,2005,4.855049
Israel,2010,4.5459805
Israel,2015,4.1527376
Israel,2020,4.144062
Italy,1990,5.8739448
Italy,1995,5.610426
Italy,2000,5.4107957
Italy,2005,4.630113
Italy,2010,4.3139033
Italy,2015,4.3953905
Italy,2020,5.3898983
Jamaica,1990,24.317112
Jamaica,1995,28.352234
Jamaica,2000,32.314976
Jamaica,2005,33.0354
Jamaica,2010,35.218025
Jamaica,2015,35.68272
Jamaica,2020,37.786903
Japan,1990,0.4857651
Japan,1995,0.5169869
Japan,2000,0.5559205
Japan,2005,0.55987513
Japan,2010,0.5887492
Japan,2015,0.5972631
Japan,2020,0.63950634
Jordan,1990,8.7950325
Jordan,1995,7.3880515
Jordan,2000,7.189836
Jordan,2005,7.645085
Jordan,2010,8.291615
Jordan,2015,7.6277604
Jordan,2020,7.9868455
Kazakhstan,1990,18.137547
Kazakhstan,1995,20.803602
Kazakhstan,2000,23.819271
Kazakhstan,2005,24.136185
Kazakhstan,2010,23.366127
Kazakhstan,2015,22.112303
Kazakhstan,2020,22.388905
Kenya,1990,1.0551591
Kenya,1995,0.9998705
Kenya,2000,0.9930812
Kenya,2005,0.9884833
Kenya,2010,1.0531163
Kenya,2015,1.0038924
Kenya,2020,0.9956017
Kiribati,1990,5.5985303
Kiribati,1995,5.4634824
Kiribati,2000,4.728393
Kiribati,2005,4.35555
Kiribati,2010,3.4635189
Kiribati,2015,3.7204647
Kiribati,2020,4.2722235
Kuwait,1990,3.893526
Kuwait,1995,6.040761
Kuwait,2000,5.545632
Kuwait,2005,5.682549
Kuwait,2010,5.9432783
Kuwait,2015,5.0848527
Kuwait,2020,4.9705625
Kyrgyzstan,1990,11.950326
Kyrgyzstan,1995,12.045782
Kyrgyzstan,2000,11.508802
Kyrgyzstan,2005,12.863217
Kyrgyzstan,2010,13.39919
Kyrgyzstan,2015,12.465603
Kyrgyzstan,2020,11.869319
Land-locked Developing Countries (LLDC),1990,9.436083
Land-locked Developing Countries (LLDC),1995,7.9929357
Land-locked Developing Countries (LLDC),2000,6.9275894
Land-locked Developing Countries (LLDC),2005,6.4822645
Land-locked Developing Countries (LLDC),2010,6.594593
Land-locked Developing Countries (LLDC),2015,6.613587
Land-locked Developing Countries (LLDC),2020,6.616938
Laos,1990,11.342286
Laos,1995,11.302767
Laos,2000,12.196157
Laos,2005,15.595492
Laos,2010,19.184345
Laos,2015,19.10916
Laos,2020,17.813772
Latin America and the Caribbean,1990,3.448965
Latin America and the Caribbean,1995,4.072249
Latin America and the Caribbean,2000,4.7196217
Latin America and the Caribbean,2005,5.2624493
Latin America and the Caribbean,2010,5.8573623
Latin America and the Caribbean,2015,5.802856
Latin America and the Caribbean,2020,6.5585556
Latvia,1990,8.071844
Latvia,1995,9.127375
Latvia,2000,10.0094795
Latvia,2005,12.032969
Latvia,2010,13.128222
Latvia,2015,18.483387
Latvia,2020,20.146835
Least developed countries,1990,5.8907385
Least developed countries,1995,4.850479
Least developed countries,2000,4.269904
Least developed countries,2005,4.0244937
Least developed countries,2010,4.243016
Least developed countries,2015,4.4077463
Least developed countries,2020,4.50188
Lebanon,1990,18.113314
Lebanon,1995,15.0646515
Lebanon,2000,14.543947
Lebanon,2005,12.957798
Lebanon,2010,14.12669
Lebanon,2015,11.5906925
Lebanon,2020,12.553239
Lesotho,1990,11.229771
Lesotho,1995,7.1944137
Lesotho,2000,5.9309673
Lesotho,2005,7.96903
Lesotho,2010,12.183356
Lesotho,2015,9.298493
Lesotho,2020,9.436985
Less developed regions,1990,2.2124748
Less developed regions,1995,2.2038188
Less developed regions,2000,2.2544003
Less developed regions,2005,2.3829303
Less developed regions,2010,2.6500752
Less developed regions,2015,2.848633
Less developed regions,2020,3.0380397
"Less developed regions, excluding China",1990,2.943044
"Less developed regions, excluding China",1995,2.8760302
"Less developed regions, excluding China",2000,2.8893085
