Country,1990_immigrants,1995_immigrants,2000_immigrants,2005_immigrants,2010_immigrants,2015_immigrants,2020_immigrants,1990_emigrants,1995_emigrants,2000_emigrants,2005_emigrants,2010_emigrants,2015_emigrants,2020_emigrants,1990_efScore,1995_efScore,2000_efScore,2005_efScore,2010_efScore,2015_efScore,2020_efScore
Grenada,4.4255047,5.528189,6.6367164,6.5948133,6.570834,6.4386926,6.410473,44.88518,53.920784,62.031178,61.76881,60.18244,63.004665,55.283108,,,,,,,
Guadeloupe,16.941254,18.469229,19.710554,22.105818,23.380526,22.72423,22.544342,1.4810494,1.67141,1.836284,2.2116985,2.6544487,2.9963024,3.1345048,,,,,,,
Guam,53.4603,49.404022,47.68772,47.18445,47.30085,47.011757,47.677788,1.0538014,1.1088287,1.8007636,1.6003181,1.3854829,1.317261,1.3111509,,,,,,,
Guatemala,2.8525705,1.5005833,0.41301224,0.43688056,0.4537532,0.46055895,0.47060192,3.7585897,4.4376388,5.002221,5.625484,6.321746,6.879681,7.6382236,5.9,7.0,6.74,7.16,7.33,7.7,7.51
Guinea,6.353953,10.653979,6.7964206,2.562345,1.7539153,1.107907,0.9246853,5.553327,5.0327454,4.575065,4.442321,4.4727087,4.3160152,4.1940055,,,6.56,5.84,3.95,4.73,5.33
Guinea-Bissau,1.5757768,2.5679386,1.7023154,1.5541317,1.4048967,1.2855693,0.9118404,5.6811223,6.1669655,6.464969,6.1598697,6.012467,5.649931,5.680392,2.87,3.27,4.29,5.07,4.85,5.36,5.36
Guyana,0.55091715,0.8343645,1.1530458,1.4565319,1.091763,1.1285676,3.9627035,31.389225,38.787968,48.499836,52.610313,58.608944,62.710102,55.738094,3.83,4.86,6.12,6.34,6.22,6.36,5.8
Haiti,0.27115986,0.23408844,0.20347829,0.1779172,0.17269525,0.16873388,0.16561233,7.455489,8.539651,9.478223,10.525977,11.289115,13.716391,15.519981,5.2,5.49,6.2,6.16,6.11,6.26,6.08
High-income countries,7.404488,8.251331,9.250412,10.483643,12.109621,13.078319,14.68792,3.3005884,3.3492815,3.460608,3.6008432,3.8753772,3.9071453,4.264153,,,,,,,
Honduras,5.457246,2.6176517,0.43289918,0.3745015,0.32808065,0.42061237,0.3957249,3.1557918,4.3190503,5.2034755,6.0180063,7.0634847,8.0090275,9.945643,5.78,6.15,6.56,6.91,7.06,7.13,6.9
Hong Kong,38.730717,40.166077,40.402504,40.197994,39.905552,39.536823,39.515762,9.586777,10.14486,10.382667,11.115551,12.374819,13.321598,13.442573,,,,,,,
Hungary,3.348805,3.1135802,2.9055011,3.6366162,4.398099,4.8630767,6.051199,3.7735176,3.9050052,4.1187677,4.625547,5.149385,6.145343,7.3953843,5.55,6.66,6.94,7.27,7.43,7.44,7.19
Iceland,3.757783,4.759609,5.6668296,8.642059,10.95423,11.831503,19.171867,6.899594,8.0085335,9.332868,9.719095,10.131047,11.205892,12.674286,7.1,7.81,8.13,8.23,6.86,7.54,7.88
India,0.869689,0.72124445,0.6068029,0.5173134,0.45160034,0.39772832,0.35352814,0.7579983,0.7421176,0.75035346,0.835522,1.0712278,1.2125045,1.2948866,5.0,5.53,6.14,6.28,5.95,6.3,6.62
Indonesia,0.256658,0.1924297,0.13819759,0.12784952,0.12714784,0.13086142,0.12997232,0.89423335,0.9836953,1.1418058,1.2290837,1.4125226,1.5732812,1.6822565,5.74,6.02,5.93,6.37,6.81,6.9,6.91
Iran,7.613783,4.7811537,3.7737591,3.6584291,3.6907592,3.4779744,3.330321,1.1198127,1.215343,1.266629,1.275046,1.3363034,1.4722697,1.5776478,,,,,,,
Iraq,0.48015073,0.9899083,0.895943,0.50093454,0.40503696,1.0102026,0.90935665,3.6909628,3.7351294,3.5255275,4.979515,8.590313,4.7104473,5.1662025,,,,3.59,4.63,5.0,5.39
Ireland,6.4929857,6.316276,9.266275,14.22398,16.040604,16.319593,17.644634,26.121675,24.039469,21.692741,18.592163,16.016977,15.833459,14.871352,7.16,7.95,8.18,8.28,7.96,8.41,7.92
Isle of Man,49.463665,51.136097,50.69013,51.654564,51.20086,50.747307,50.616238,15.272008,12.481111,9.587741,10.566301,10.645093,12.711457,14.149967,,,,,,,
Israel,36.7036,33.99848,31.135635,28.938076,26.627705,25.214363,22.570225,6.2860413,5.5083423,5.1103697,4.855049,4.5459805,4.1527376,4.144062,5.4,6.32,6.79,7.38,7.39,7.5,7.29
Italy,2.5035288,3.1044552,3.7424705,6.7857037,9.756208,9.583151,10.563686,5.8739448,5.610426,5.4107957,4.630113,4.3139033,4.3953905,5.3898983,6.84,6.93,7.65,7.59,7.42,7.66,7.23
Jamaica,0.846109,0.89643425,0.9399186,0.8862774,0.8424587,0.80127317,0.79796404,24.317112,28.352234,32.314976,33.0354,35.218025,35.68272,37.786903,5.91,6.69,7.35,7.2,7.01,7.56,7.29
Japan,0.8636721,1.0781195,1.3224505,1.5675336,1.6602707,1.7441001,2.1909184,0.4857651,0.5169869,0.5559205,0.55987513,0.5887492,0.5972631,0.63950634,7.76,7.7,8.17,8.11,7.94,8.01,7.89
Jordan,32.147644,33.496403,37.634884,38.135235,38.378258,34.17618,33.8885,8.7950325,7.3880515,7.189836,7.645085,8.291615,7.6277604,7.9868455,5.45,6.01,7.01,6.99,7.21,7.35,7.33
