,index,Country,1990_immigrants,1995_immigrants,2000_immigrants,2005_immigrants,2010_immigrants,2015_immigrants,2020_immigrants,1990_emigrants,1995_emigrants,2000_emigrants,2005_emigrants,2010_emigrants,2015_emigrants,2020_emigrants,1990_efScore,1995_efScore,2000_efScore,2005_efScore,2010_efScore,2015_efScore,2020_efScore
79,133,Lesotho,0.48363703,0.3794379,0.3033739,0.3151121,0.32141113,0.44448525,0.56295896,11.229771,7.1944137,5.9309673,7.96903,12.183356,9.298493,9.436985,,,4.27,5.62,5.61,6.16,5.93
80,134,Less developed regions,1.6791868,1.4941835,1.3979151,1.4020774,1.5802175,1.7566731,1.8913558,2.2124748,2.2038188,2.2544003,2.3829303,2.6500752,2.848633,3.0380397,,,,,,,
81,135,"Less developed regions, excluding China",2.2636843,1.9735103,1.8112811,1.789772,2.0004985,2.2063897,2.355131,2.943044,2.8760302,2.8893085,2.9928932,3.2836719,3.4812386,3.693144,,,,,,,
82,136,"Less developed regions, excluding least developed countries",1.6095651,1.4185833,1.3775185,1.4160715,1.6372943,1.8163501,1.9611793,1.7058114,1.8197883,1.9461995,2.1166916,2.3772898,2.5654764,2.754748,,,,,,,
83,137,Liberia,4.574557,10.200391,5.331607,2.7101898,2.5483398,2.506826,1.7388813,24.898779,26.522541,8.720963,11.024842,5.6314287,4.600413,4.6180096,,,4.51,5.33,5.58,6.13,5.7
84,138,Libya,10.302225,10.265951,10.590655,10.785541,11.087914,12.014773,12.028852,1.718386,1.5639764,1.4933856,1.7288265,2.055596,2.3766985,2.6999018,,,,4.45,4.3,4.55,4.8
85,139,Liechtenstein,37.88121,43.099987,46.658028,54.432858,62.06801,63.52329,67.852745,11.896491,9.77205,8.100289,8.453829,9.9733305,9.438142,9.717597,,,,,,,
86,141,Low-income countries,3.0301793,2.5645242,1.8226258,1.5621822,1.6529016,1.7110674,1.7828648,6.9687257,5.4050374,4.4809155,4.0212755,4.088133,5.2052636,5.4540534,,,,,,,
87,142,Lower-middle-income countries,1.8083782,1.4715002,1.3003669,1.1285793,1.0586252,1.003614,0.9651391,2.4180262,2.3390114,2.3314917,2.4741247,2.761582,2.9231486,3.0379617,,,,,,,
88,144,Macao,59.638584,58.34477,56.289566,57.84415,59.17821,62.459785,62.138287,25.147171,23.370436,22.09518,22.406149,22.964613,22.138771,22.359867,,,,,,,
89,148,Maldives,3.8936365,7.2832723,9.696631,14.094004,14.945178,14.128605,12.96458,0.9822593,0.6637969,0.43522456,0.6921065,0.96874744,0.7926773,0.68727314,,,,,,,
90,151,Marshall Islands,2.4500158,2.933365,3.7258148,4.3741064,5.48074,5.716872,5.571511,3.0170317,8.233242,13.744729,12.041913,11.518603,13.273797,18.390377,,,,,,,
91,152,Martinique,10.797668,12.637771,14.080038,14.359339,15.095042,18.276646,18.28681,3.0787513,3.390304,3.622331,3.6103537,3.7087057,3.3488955,3.4543588,,,,,,,
92,153,Mauritania,5.4882474,3.8710597,2.1810367,1.9248409,2.430313,4.1161513,3.9204156,6.6103764,6.5572286,4.091183,3.4093997,3.2680442,2.8329558,2.8007638,,,5.13,5.79,5.66,5.82,6.14
93,155,Mayotte,16.067905,21.362818,30.24925,35.47161,34.85933,33.90928,40.885147,1.936083,3.19598,4.1335454,3.6316066,3.0385787,2.7269583,2.4804537,,,,,,,
94,156,Melanesia,1.5268205,1.4488217,1.2749193,1.2618941,1.2047431,1.1790774,1.1154644,1.7494317,1.8449179,2.0120578,2.1503496,2.223329,2.2700574,2.3017282,,,,,,,
95,158,Micronesia,26.146452,26.089642,26.854712,25.76581,22.785456,21.69829,21.653152,5.149197,6.408599,8.051916,8.013711,7.7505064,8.022167,9.290488,,,,,,,
96,159,Micronesia (country),3.8264246,3.1078253,2.9011686,2.73708,2.7264955,2.5310876,2.4621592,8.009013,11.287487,15.74787,17.285532,18.854212,18.949177,21.687344,,,,,,,
97,160,Middle Africa,2.062173,3.178137,1.847031,1.7516131,1.8513619,2.2567043,2.150152,2.7129204,2.2173655,2.5379453,2.4342458,2.284983,2.4752982,2.4614599,,,,,,,
98,161,Middle-income countries,1.684273,1.4810283,1.376377,1.3103132,1.3168722,1.4131819,1.4639583,2.22867,2.2867904,2.3677547,2.5076566,2.7565749,2.840515,3.0234413,,,,,,,
99,162,Moldova,12.464878,8.46037,5.8969336,4.114206,3.1689954,2.6131592,2.5889678,14.332175,14.284424,14.342657,17.202335,20.249407,22.840244,28.742035,,,5.15,6.36,6.52,6.76,6.9
100,163,Monaco,69.17066,68.53015,67.770935,62.975002,59.344547,68.8784,67.78361,15.204022,15.567342,15.938784,56.447613,75.69434,77.716515,82.947716,,,,,,,
101,164,Mongolia,0.30758116,0.32306114,0.34228504,0.45427755,0.590536,0.6632131,0.65110123,1.1201669,1.2051259,1.2783759,1.6764374,2.110554,2.183974,2.5042918,,,6.1,6.8,6.93,7.17,7.02
102,165,Montenegro,,,,,12.576428,11.439221,11.304458,12.582682,23.313276,29.899538,24.012959,23.828129,21.377544,21.170681,,,6.57,5.98,6.83,7.0,7.37
103,166,Montserrat,18.961945,16.368805,24.588833,25.691862,26.373852,27.204994,27.585518,67.61492,117.64826,327.55328,326.51797,355.01532,405.47723,491.73834,,,,,,,
104,168,Mozambique,0.94193614,1.0866951,1.1049166,1.3110908,1.3023825,1.1899785,1.0841315,17.111757,5.2487917,3.6383452,3.2348654,3.3903735,2.2074883,2.0481558,,,5.36,5.62,5.35,5.62,5.9
105,171,Nauru,29.612877,24.515339,23.164005,22.87774,9.051853,17.669172,20.315674,14.927415,14.219837,15.413643,18.978474,21.280848,21.852709,22.650915,,,,,,,
106,174,New Caledonia,22.117004,22.588156,22.852947,23.432907,24.122684,25.41153,25.619371,2.4352012,2.3797698,2.2742023,2.2073162,2.1208618,2.0600452,2.0452483,,,,,,,
107,179,Niue,19.768438,22.211939,26.182966,30.924171,36.313194,36.52174,36.341164,251.20068,257.7973,302.26077,313.44788,329.65475,332.17392,320.51917,,,,,,,
108,180,North Korea,0.16805255,0.16074704,0.157804,0.16774063,0.17927527,0.1924171,0.19220822,0.19407131,0.246072,0.3155382,0.3629618,0.39292693,0.41255835,0.42816943,,,,,,,
