Country,2000_immigrants,2005_immigrants,2010_immigrants,2015_immigrants,2020_immigrants,2000_emigrants,2005_emigrants,2010_emigrants,2015_emigrants,2020_emigrants,2000_efScore,2005_efScore,2010_efScore,2015_efScore,2020_efScore,2000_netMigration,2005_netMigration,2010_netMigration,2015_netMigration,2020_netMigration
Haiti,0.20347829,0.1779172,0.17269525,0.16873388,0.16561233,9.478223,10.525977,11.289115,13.716391,15.519981,6.2,6.16,6.11,6.26,6.08,-9.27474471,-10.3480598,-11.11641975,-13.54765712,-15.35436867
Honduras,0.43289918,0.3745015,0.32808065,0.42061237,0.3957249,5.2034755,6.0180063,7.0634847,8.0090275,9.945643,6.56,6.91,7.06,7.13,6.9,-4.77057632,-5.6435048,-6.73540405,-7.5884151300000005,-9.549918100000001
Hungary,2.9055011,3.6366162,4.398099,4.8630767,6.051199,4.1187677,4.625547,5.149385,6.145343,7.3953843,6.94,7.27,7.43,7.44,7.19,-1.2132666000000003,-0.9889307999999999,-0.7512859999999995,-1.2822663000000007,-1.3441852999999995
Iceland,5.6668296,8.642059,10.95423,11.831503,19.171867,9.332868,9.719095,10.131047,11.205892,12.674286,8.13,8.23,6.86,7.54,7.88,-3.6660383999999997,-1.0770359999999997,0.8231830000000002,0.6256109999999993,6.4975809999999985
India,0.6068029,0.5173134,0.45160034,0.39772832,0.35352814,0.75035346,0.835522,1.0712278,1.2125045,1.2948866,6.14,6.28,5.95,6.3,6.62,-0.14355056,-0.31820859999999995,-0.61962746,-0.8147761800000001,-0.9413584600000001
Indonesia,0.13819759,0.12784952,0.12714784,0.13086142,0.12997232,1.1418058,1.2290837,1.4125226,1.5732812,1.6822565,5.93,6.37,6.81,6.9,6.91,-1.00360821,-1.1012341799999998,-1.2853747599999998,-1.44241978,-1.55228418
Ireland,9.266275,14.22398,16.040604,16.319593,17.644634,21.692741,18.592163,16.016977,15.833459,14.871352,8.18,8.28,7.96,8.41,7.92,-12.426466000000001,-4.368183,0.023626999999997622,0.4861340000000016,2.773282
Israel,31.135635,28.938076,26.627705,25.214363,22.570225,5.1103697,4.855049,4.5459805,4.1527376,4.144062,6.79,7.38,7.39,7.5,7.29,26.0252653,24.083026999999998,22.0817245,21.061625399999997,18.426163000000003
Italy,3.7424705,6.7857037,9.756208,9.583151,10.563686,5.4107957,4.630113,4.3139033,4.3953905,5.3898983,7.65,7.59,7.42,7.66,7.23,-1.6683252000000004,2.1555907000000003,5.442304700000001,5.1877605,5.173787700000001
Jamaica,0.9399186,0.8862774,0.8424587,0.80127317,0.79796404,32.314976,33.0354,35.218025,35.68272,37.786903,7.35,7.2,7.01,7.56,7.29,-31.375057400000003,-32.149122600000005,-34.375566299999996,-34.88144683,-36.988938960000006
